CustomerID,Lookalikes
C0001,"[('C0107', 0.9964160629333632), ('C0137', 0.9957000029067152), ('C0191', 0.9897669426714508)]"
C0002,"[('C0142', 0.9887986276382208), ('C0177', 0.9665054843287144), ('C0186', 0.9513671519805772)]"
C0003,"[('C0190', 0.9663449212719496), ('C0133', 0.9639721457875144), ('C0174', 0.95188282796918)]"
C0004,"[('C0113', 0.9950141093849688), ('C0102', 0.9835928774397132), ('C0165', 0.976219561974364)]"
C0005,"[('C0186', 0.9975070362104176), ('C0159', 0.9969876736870632), ('C0140', 0.9869414640620454)]"
C0006,"[('C0168', 0.9754290315127764), ('C0048', 0.9627599759935872), ('C0187', 0.9596221458824508)]"
C0007,"[('C0159', 0.988544915655898), ('C0005', 0.9868551577843032), ('C0115', 0.9831446127812816)]"
C0008,"[('C0109', 0.925172862452882), ('C0068', 0.915245151152656), ('C0098', 0.9098767953777048)]"
C0009,"[('C0198', 0.9904450554756709), ('C0063', 0.9786381398416024), ('C0014', 0.9731452838370526)]"
C0010,"[('C0166', 0.9832367748277806), ('C0199', 0.973590895201623), ('C0073', 0.966885950622985)]"
C0011,"[('C0107', 0.995063364744912), ('C0048', 0.9949454856521012), ('C0001', 0.9886540744006408)]"
C0012,"[('C0155', 0.9905466186001888), ('C0013', 0.9849235776725346), ('C0102', 0.9827303982506488)]"
C0013,"[('C0155', 0.9921034257097614), ('C0012', 0.9849235776725346), ('C0104', 0.9842353831377147)]"
C0014,"[('C0060', 0.999523553415881), ('C0198', 0.9936908605687136), ('C0063', 0.9863828136925824)]"
C0015,"[('C0020', 0.994022418424114), ('C0058', 0.9905026619175442), ('C0033', 0.98944845480202)]"
C0016,"[('C0183', 0.9876948737242968), ('C0154', 0.9720909301428636), ('C0117', 0.963292463210022)]"
C0017,"[('C0124', 0.9834717633265204), ('C0075', 0.9649498752234787), ('C0041', 0.952281590237034)]"
C0018,"[('C0046', 0.9268806452565848), ('C0122', 0.9253294504794928), ('C0067', 0.9244769335596386)]"
C0019,"[('C0172', 0.997127283699905), ('C0127', 0.9627816225194764), ('C0069', 0.9568419623145136)]"
C0020,"[('C0058', 0.9957496926049496), ('C0033', 0.9945305653099178), ('C0015', 0.994022418424114)]"
